,Game_Id,Home_Score,Home_Team,Visitor_Score,Visitor_Team,Winner
418,2007020419,3,EDM,4,STL,STL
419,2007020420,0,PHX,1,S.J,S.J
420,2007020421,1,TOR,2,BOS,BOS
421,2007020422,1,MTL,5,CAR,CAR
422,2007020423,6,WSH,3,ATL,WSH
423,2007020424,1,CBJ,2,MIN,MIN
424,2007020425,2,T.B,3,NYI,NYI
425,2007020426,4,NSH,2,ANA,NSH
426,2007020427,1,VAN,2,PIT,PIT
427,2007020428,2,L.A,4,PHX,PHX
428,2007020429,1,S.J,7,BUF,BUF
429,2007020430,1,NYR,0,N.J,NYR
430,2007020431,5,DET,2,CAR,DET
431,2007020432,2,CHI,3,CGY,CGY
432,2007020433,9,COL,5,STL,COL
433,2007020434,1,BUF,4,BOS,BOS
434,2007020435,3,WSH,2,N.J,WSH
435,2007020436,3,CBJ,4,ANA,ANA
436,2007020437,6,TOR,1,T.B,TOR
437,2007020438,1,NSH,2,DET,DET
438,2007020439,5,DAL,4,EDM,DAL
439,2007020440,4,L.A,2,VAN,L.A
440,2007020441,8,PHI,2,PIT,PHI
441,2007020442,2,MTL,3,T.B,T.B
442,2007020443,1,FLA,2,CGY,CGY
443,2007020444,4,STL,5,EDM,EDM
444,2007020445,4,S.J,1,MIN,S.J
445,2007020446,5,BUF,3,NYI,BUF
446,2007020447,5,WSH,4,NYR,WSH
447,2007020448,0,CAR,6,OTT,OTT
448,2007020449,3,ATL,5,BOS,BOS
449,2007020450,4,CBJ,1,COL,CBJ
450,2007020451,6,CHI,3,L.A,CHI
451,2007020452,2,ANA,3,VAN,VAN
452,2007020453,1,BOS,3,N.J,N.J
453,2007020454,3,NYI,2,PHX,NYI
454,2007020455,1,PHI,4,MTL,MTL
455,2007020456,1,PIT,4,OTT,OTT
456,2007020457,6,T.B,9,CGY,CGY
457,2007020458,3,DET,4,EDM,EDM
458,2007020459,1,NSH,2,COL,COL
459,2007020460,0,STL,1,FLA,FLA
460,2007020461,4,DAL,1,L.A,DAL
461,2007020462,5,S.J,2,VAN,S.J
462,2007020463,3,WSH,5,BUF,BUF
463,2007020464,3,CAR,4,CGY,CGY
464,2007020465,0,ATL,4,TOR,TOR
465,2007020466,2,ANA,5,MIN,MIN
466,2007020467,1,N.J,4,PHX,PHX
467,2007020468,2,BOS,0,CBJ,BOS
468,2007020469,3,BUF,1,CHI,BUF
